,id,duration_ms,explicit,name,popularity,album_type,album_name,release_date,artist_name
1174,3ZFTkvIE7kyPt6Nu3PEa7V,218093,False,Hips Don't Lie (feat. Wyclef Jean),87,album,"Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28,Shakira
1175,3arKRnq9OUd7yq6LRwVW8I,289533,False,Soul to Squeeze,72,compilation,Greatest Hits,2003-11-18,Red Hot Chili Peppers
1176,3dHkRE9VZf5Kq4jQBpfzuI,206000,False,Shinigamikai,33,album,DEATH NOTE Original Soundtrack,2006-12-21,Hideki Taniuchi
1177,3k3NWokhRRkEPhCzPmV8TW,258298,False,Ojitos Lindos,83,album,Un Verano Sin Ti,2022-05-06,Bad Bunny
1178,3pqRRxH5x9oVPwh9i9UFZA,137573,False,Tell Her Tonight,45,album,Franz Ferdinand,2004-02-16,Franz Ferdinand
1179,3sl9vUye4EJ0Afz8rQa64M,336115,True,Tu Peor Enemigo o Tu Mejor Maestro,34,single,Tu Peor Enemigo o Tu Mejor Maestro,2022-05-25,Solitario
1180,3vy66ZlrCcrCR74ix1E5vb,165586,False,Give Me,51,album,La Joia,2024-01-26,Bad Gyal
1181,3xNMMrXGcFIg06FfTVxod9,199853,True,Pa Que Brille,48,album,Ídolo,2017-10-05,C. Tangana
1182,41tBj9tQBShbTTQXgKLegM,201816,False,Si Vos Me Lo Pedís,47,album,Parte de Mí,2021-10-28,Nicki Nicole
1183,428cFrawSqeLoyooQjAW9d,267760,False,La casa por el tejado,64,album,Lo mas lejos a tu lado,2003-09-01,Fito y Fitipaldis
1184,49Pgj28xm0VB2bDJP8sTwK,209360,False,Comeme (feat. Mario Diaz) - Directo Perito Moreno,35,album,Chambao En El Fin Del Mundo,2009-12-08,Chambao
1185,4BPPnB4QD4eXI251VjifTL,178491,False,Salir,26,single,Salir,2021-06-25,Alizzz
1186,4CrVQgYTd2D3uVEuOrQ3zP,207540,False,Traicionero (feat. Cromo X),35,single,Traicionero (feat. Cromo X),2018-05-29,C. Tangana
1187,4Dl8bEzhAEGbcwkQawS1XG,199994,False,Antes de Morirme (feat. ROSALÍA),73,single,Antes de Morirme (feat. ROSALÍA),2016-07-05,C. Tangana
1188,4FjFx6qNHJnkl31RMO9Dus,174857,True,La Paka,24,single,La Paka,2023-07-14,P.A.W.N. Gang
1189,4ICsXyiivL9VN2AJlH8h6e,238025,True,PARDUT,13,single,PARDUT,2020-12-04,P.A.W.N. Gang
1190,4KSJ1V9xe3xnkWycoyZxz8,360623,False,"A San Fernando, un Ratito a Pie y Otro Caminando - Acústico",23,album,Acústico Acústico Acústico (En Directo),2020-07-03,Manolo Garcia
1191,4U0Cx2oGeiUQQCmCByQDxE,139354,True,Llorando en la Limo (feat. Alizzz),63,album,Avida Dollars,2018-04-20,C. Tangana
1192,4cBX8xN4joiBKOMaBwZQQX,181000,False,Wapo Traketero,52,album,Recuerdos,2019-11-08,Nicki Nicole
1193,4gQEQ8aGSIXYxqmZzqyzEj,150917,True,Maradona,20,single,Maradona,2021-02-19,Dirty Porko
1194,4j4w4CXm6BSr0s25wAWrrX,196500,True,Bichiyal,71,album,YHLQMDLG,2020-02-29,Bad Bunny
1195,4pcafPzLDSqQktqSpxHL3E,217133,True,THUNDER Y LIGHTNING,70,album,nadie sabe lo que va a pasar mañana,2023-10-13,Bad Bunny
1196,4r9jkMEnArtWGH2rL2FZl0,175918,False,A Tu Merced,76,album,YHLQMDLG,2020-02-29,Bad Bunny
1197,4taonjcY2u7ET24Vf6FvPn,204800,True,Ya Sabes,37,album,Siempre,2016-11-15,Agorazein
1198,4v56XpQYCXbzwfB2Cwm97u,200888,True,Hazme Five (Remix),43,single,Hazme Five (Remix),2019-10-24,Dirty Porko
1199,4wyNKAZe82BNlp2lHiR1FX,196745,True,CANGURO,56,single,CANGURO,2019-08-09,WOS
1200,4xNZGwTpijsg5hGtFRYDjr,219033,True,Dame un Segundo de Luz y Sombra,18,album,"Skills, Vol. 1",2018-06-04,Cocinando Skills
1201,522GGnq0ZikjsxbiKFLy3D,210680,False,The Boy Does Nothing,48,album,The Alesha Show - Encore,2008-11-24,Alesha Dixon
1202,53vCCDv42MGxUmgWUbuhuP,203000,False,Mercadona (Prod. Fakeguido),52,album,Slow Wine Mixtape,2016-11-11,Bad Gyal
1203,56JmmV8BSzvuY0lDtRs0xZ,300133,False,Todo O Nada,40,album,Almanauta,2018-10-25,Nach
1204,5GKVcvTgnFYtfh25qKQtRg,242293,False,One Way Trigger,55,album,Comedown Machine,2013-03-25,The Strokes
1205,5HnWWoY9gAIOxL2CMq5Sz1,209693,True,Bota Niña,55,album,La Joia,2024-01-26,Bad Gyal
1206,5QcKmCvGDbMvbJQZh75YVd,180238,False,Duecentomila ore,43,single,Duecentomila ore,2022-02-02,Ana Mena
1207,5QzPYn26g8EU2JiaG6bYV3,260013,False,Cigarette Duet,63,album,Lil' Golden Book,2011-05-02,Princess Chelsea
1208,5a9s6oVGmgQtQxcFmCqius,242082,False,Ezio Auditore vs Agente 47 (épicas Batallas de Rap del Frikismo T2),21,single,Ezio Auditore vs Agente 47 (épicas Batallas de Rap del Frikismo T2),2016-12-27,Keyblade
1209,5cNJO43VKHxD0XGbkhboZu,188093,False,CAMBIA!,57,album,El Madrileño,2021-02-26,C. Tangana
1210,5h5TUj8pU2WhdSeJx9BnX2,216827,False,Pelele,68,single,Pelele,2021-12-24,Morad
1211,5hRm9En4h2O0IDLnwlM0NK,282920,False,El Bombero del Atardecer - En Directo,16,album,Historia de una Banda (En Directo),2015-12-31,El Último De La Fila
1212,5k7wy2Ek7y6kSQ4fER7w0E,286525,True,Brainless,49,album,The Marshall Mathers LP2 (Deluxe),2013-11-05,Eminem
1213,5py3FJrHEuR67BjR7wm8uj,242496,False,Me Maten - Live at NPR's Tiny Desk,56,single,El Madrileño (Live at NPR's Tiny Desk),2021-04-20,C. Tangana
1214,5u5S7D8NaQzyKkdU4duHJR,144613,False,Blin Blin,54,single,Blin Blin,2020-11-13,Bad Gyal
1215,61GtlqILMywJL6wAHGJUKc,200040,False,Yotsuba Goroshi no Kaigishitsu,24,album,DEATH NOTE Original Soundtrack Ⅱ,2007-03-21,Hideki Taniuchi
1216,66rT2mfQoe1SkxCd2r25hV,214524,False,Mi Propio Stayl,15,album,Mejores Temas de Kabuto,2020-01-28,Kabuto Makai
1217,69aj4fQBQCAHoGcn1PBbGS,270226,False,Tan Solo,41,album,Estopa,1999-10-18,Estopa
1218,6Ao7YH00cDytwfREPQlxln,208421,False,Grande,29,single,Grande,2018-08-01,Kaze
1219,6DCZcSspjsKoFjzjrWoCdn,198973,True,God's Plan,82,album,Scorpion,2018-06-29,Drake
1220,6HwUTzSIaWraq3IvBGyUZu,37933,False,Sueño 28. No Recalificable. No Urbanizable. Sin Publicidad - (Instrumental),12,album,Saldremos A La LLuvia,2008-11-14,Manolo Garcia
1221,6Oe5X5JLgU2T8EA6XGs5Rx,216915,False,Tiempo,19,single,Tiempo,2017-10-01,C. Tangana
1222,6PrUwIPmN4XrkIboe7fJzh,190720,True,Yyanosé,42,album,Who Is Israel B.?,2019-11-22,Israel B
1223,6QUXPcooiyFO15WNOEUlcx,543173,False,All Connected,21,album,Mirror To The Sky,2023-05-19,Yes
1224,6QV1RufAY06OcqzxtqxTCP,159375,True,Fuego Fatuo,27,single,Fuego Fatuo,2019-06-27,Cyclo
1225,6Tcc43gz0Dedl4fQJywsJC,180866,False,Ojalá (feat. Chico Blanco),38,single,Bien:(,2020-05-14,C. Tangana
1226,6Tj4IY8zgiS1tPPo44yZ1X,196000,True,Brexit,16,single,Brexit,2021-07-30,Flashy Ice Cream
1227,6ZTUZgc7aHj46WY6uVQJ2J,240695,False,Politikoz,10,album,"Temas Kabuto, Vol. 2",2020-02-15,Kabuto Makai
1228,6fut8mo6sof0srjhQwAy9x,269373,False,Parallel Universe,43,compilation,Greatest Hits,2003-11-18,Red Hot Chili Peppers
1229,6hJD2vlrKlF5364004Y3D2,667847,False,Crítica a la Ignorancia,35,single,Crítica a la Ignorancia,2022-06-28,Solitario
1230,6qUfKsUPGERMdhOwPIqhsS,220173,True,Mi Lova,58,single,Mi Lova,2023-07-07,Bad Gyal
1231,6tMqYyCVU2aKgUahMvJz2S,194747,True,Atrevido,62,album,Atrevido,2020-07-23,Trueno
1232,71wFwRo8xGc4lrcyKwsvba,250533,True,Callaita,76,album,Un Verano Sin Ti,2022-05-06,Bad Bunny
1233,72zrmPlWYPVdOhSLh289fv,269142,False,Ganyita Radioaktiva,34,album,Mejores Temas de Kabuto,2020-01-28,Kabuto Makai
1234,740uwCK09xVPNPr4hFpcWW,182640,False,Muriendo De Envidia,55,album,El Madrileño,2021-02-26,C. Tangana
1235,77Nr76bprdc5y5fg8d7EaS,304240,False,バニラソルト,35,album,HONEY JET!!,2009-07-15,Yui Horie
1236,78wyf1JZmuzIoX0cqtTvCd,227257,True,BUSINESS WOMAN,51,album,Calambre,2020-10-02,NATHY PELUSO
1237,7ANJlQ67bYtNz0rNUFL0E2,229658,False,Nonstop,54,single,Nonstop,2022-03-04,Quevedo
1238,7FMqd8ZCHYkR54vhc9xo3Y,144893,False,Cauterización de una herida,15,album,Nuevo Pequeño Catálogo De Seres Y Estares,1990-10-20,El Último De La Fila
1239,7GNRUsU3M4XNDDB9xle5Dz,174646,False,That That (prod.&feat. SUGA of BTS),71,album,PSY 9th,2022-04-29,PSY
1240,7J1uxwnxfQLu4APicE5Rnj,294226,False,Billie Jean,82,album,Thriller,1982-11-30,Michael Jackson
1241,7L4Pwv2FQkKERkUrXwSELv,217051,True,Cactus,30,single,Cactus,2016-04-06,Jaloner
1242,7Lgarpf1OqaXsUTjKZ34mK,218173,False,Me Falta el Aliento,57,album,Estopa,1999-10-18,Estopa
1243,7cmRd1iwDaANckyPHSOv5V,207804,False,"Autoestima (Feat. Lola Indigo, Alizzz) - Remix",45,single,"Autoestima (Feat. Lola Indigo, Alizzz) [Remix]",2019-08-08,Cupido
1244,7cuTTXwBNLVq2criiiko5k,256959,False,Universally Speaking,40,compilation,Greatest Hits,2003-11-18,Red Hot Chili Peppers
1245,7dP8OdqRz0QY1O4IMBJdUG,191173,True,Gust,8,single,Gust,2019-09-17,Teuma Thug
1246,7fz7HrFRF4y8YEe0duWTDW,171149,False,PANAMÁ,58,single,PANAMÁ,2021-06-03,Trueno
1247,7jfmlr5W2AQWUGLVhT8ofl,234786,False,El Pañuelo,66,album,"Fórmula, Vol. 3",2022-09-01,Romeo Santos
1248,7klcjsUjOT35E862g1BlSC,213106,False,La tortura,50,compilation,Sanz: Lo que fui es lo que soy (Banda Sonora Original),2018-04-20,Shakira
1249,7lygPHHCj3LYmTZYovUla8,256028,False,Ardieron los Fuegos - Gira Geometría del Rayo Concierto Oviedo,11,album,Geometría del Rayo - En Directo,2018-11-30,Manolo Garcia
1250,7sqEqSeZRKrQzdkukwxFEo,219480,False,Disimulao,35,album,Tiene que haber algo más,2021-11-26,Alizzz
1251,7zUhVz7yMmO1mmbfFI8R5i,374853,True,Pura Droga Sin Cortar,51,album,Vivir para Contarlo,2006,Violadores Del Verso
